Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$,Author,Title
Cold-formed,100.275,100.275,6,3.23,2939,74.55363915,468.948053,1229.505209,1910697.127,74.55363915,333.7,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,100.175,100.175,6,3.23,2739,69.55227559,468.9548861,1228.213209,1904737.539,69.55227559,363.3,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,100.15,100.15,7,3.18,2739,69.63464888,469.8740158,1203.922663,1862652.649,69.63464888,406.4,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,120.6,120.6,14,6.17,2938,63.62903702,517.9492141,2708.51257,5774624.343,63.62903702,920.3,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,120.6,120.6,14,6.22,2939,63.67548018,517.9109041,2729.484583,5814807.748,63.67548018,876,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,120.375,120.375,16,6,2640,57.38112085,518.1953062,2611.088454,5527024.422,57.38112085,1080.9,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,120.475,120.475,16,6.08,2639,57.34408283,518.3315551,2646.806896,5605622.091,57.34408283,939.2,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,151.125,151.125,10,5.32,2939,49.65147619,489.362657,3035.690846,10636344.2,49.65147619,1397.9,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,151.05,151.05,10,5.4,2939,49.70201544,489.3597235,3078.363165,10763933.99,49.70201544,1247.7,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,150.925,150.925,11,5.22,2540,42.98369023,489.9119634,2967.131127,10360883.19,42.98369023,1452.6,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,151.025,151.025,11,5.28,2539,42.95317684,489.9005772,3002.352826,10490508.73,42.95317684,1461.5,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,150.875,150.875,11,5.23,2040,34.53642615,489.9128647,2971.604981,10368039.03,34.53642615,1415.1,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,150.975,150.975,11,5.25,2039,34.49995357,489.9062843,2984.738804,10425664.91,34.49995357,1453.9,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
Cold-formed,150.775,150.775,22,8.22,2938,51.33061434,519.5701403,4434.740842,14528437.33,51.33061434,1748,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
